fd.arg,fd.vd,value,se,x,,,,,v2
0.823529412,15,8.471757297,4.518104876,12.35294118,,,,,1.058969662
0.882352941,15,13.86920084,5.449656768,13.23529412,,,,,1.733650105
0.941176471,15,18.91121468,8.803188593,14.11764706,,,,,2.363901835
0,16,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,16,0.848705211,1.388180839,0.941176471,,,,,0.106088151
0.117647059,16,-4.308411303,2.116919616,1.882352941,,,,,-0.538551413
0.176470588,16,0.267660233,1.775904061,2.823529412,,,,,0.033457529
0.235294118,16,1.392359501,3.038952054,3.764705882,,,,,0.174044938
0.294117647,16,-0.369305859,2.902932006,4.705882353,,,,,-0.046163232
0.352941176,16,-1.718112278,3.364849115,5.647058824,,,,,-0.214764035
0.411764706,16,-3.031134053,2.433202526,6.588235294,,,,,-0.378891757
0.470588235,16,0.281479951,3.62708624,7.529411765,,,,,0.035184994
0.529411765,16,3.227729421,2.321394282,8.470588235,,,,,0.403466178
0.588235294,16,1.495744373,3.74249471,9.411764706,,,,,0.186968047
0.647058824,16,-0.056054,4.35640885,10.35294118,,,,,-0.00700675
0.705882353,16,0.623920972,5.196236754,11.29411765,,,,,0.077990121
0.764705882,16,3.309649943,4.02262437,12.23529412,,,,,0.413706243
0.823529412,16,7.770521197,4.424500653,13.17647059,,,,,0.97131515
0.882352941,16,13.12243871,5.487810634,14.11764706,,,,,1.640304838
0.941176471,16,18.11645064,8.945732235,15.05882353,,,,,2.26455633
0,17,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,17,0.832374517,1.398559291,1,,,,,0.104046815
0.117647059,17,-4.338900783,2.129098141,2,,,,,-0.542362598
0.176470588,17,0.117031781,1.805982699,3,,,,,0.014628973
0.235294118,17,1.199316835,3.060914779,4,,,,,0.149914604
0.294117647,17,-0.592409371,2.939784425,5,,,,,-0.074051171
0.352941176,17,-1.988857202,3.448572333,6,,,,,-0.24860715
0.411764706,17,-3.313361489,2.579239877,7,,,,,-0.414170186
0.470588235,17,-0.096000952,3.71539562,8,,,,,-0.012000119
0.529411765,17,2.756093677,2.47572612,9,,,,,0.34451171
0.588235294,17,1.036181812,3.672522005,10,,,,,0.129522726
0.647058824,17,-0.538694159,4.176330766,11,,,,,-0.06733677
0.705882353,17,0.096465294,5.052088496,12,,,,,0.012058162
0.764705882,17,2.738735056,3.864112976,13,,,,,0.342341882
0.823529412,17,7.154641316,4.347602513,14,,,,,0.894330164
0.882352941,17,12.46272499,5.545895402,15,,,,,1.557840624
0.941176471,17,17.41294254,9.09258176,16,,,,,2.176617817
