fl.arg,fl.vd,value,se,x,Z,,,MEAN VALUE,0.90921491
0.529411765,15,-0.328043481,0.307996844,7.941176471,-4.017114159,,,,
0.588235294,15,-0.038270875,0.449873002,8.823529412,-2.106118552,,,,
0.647058824,15,0.2994746,0.676406849,9.705882353,-0.901440311,,,,
0.705882353,15,0.67143698,0.887610759,10.58823529,-0.267885464,,,,
0.764705882,15,1.065300423,1.064932801,11.47058824,0.146568331,,,,
0.823529412,15,1.474509571,1.277652426,12.35294118,0.442447852,,,,
0.882352941,15,1.893949191,1.577874679,13.23529412,0.624088975,,,,
0.941176471,15,2.318504045,1.960627291,14.11764706,0.718794975,,,,
0,16,-0.244796219,0.535819969,0,-2.153729397,,,,
0.058823529,16,-0.469421186,0.341090722,0.941176471,-4.041846052,,,,
0.117647059,16,-0.675646881,0.279036737,1.882352941,-5.679760648,,,,
0.176470588,16,-0.845074032,0.340356872,2.823529412,-5.154263581,,,,
0.235294118,16,-0.959303367,0.394346651,3.764705882,-4.73826356,,,,
0.294117647,16,-1.003245251,0.399221007,4.705882353,-4.790480009,,,,
0.352941176,16,-0.975048592,0.395833768,5.647058824,-4.760239638,,,,
0.411764706,16,-0.876171934,0.397163499,6.588235294,-4.495344962,,,,
0.470588235,16,-0.708073821,0.360885692,7.529411765,-4.481443452,,,,
0.529411765,16,-0.474088827,0.292611071,8.470588235,-4.727448694,,,,
0.588235294,16,-0.185055642,0.372076441,9.411764706,-2.940983415,,,,
0.647058824,16,0.146311014,0.569756298,10.35294118,-1.339000533,,,,
0.705882353,16,0.507296421,0.738468113,11.29411765,-0.544259897,,,,
0.764705882,16,0.886600645,0.845152898,12.23529412,-0.026757709,,,,
0.823529412,16,1.278582893,0.98876495,13.17647059,0.373564914,,,,
0.882352941,16,1.679017157,1.254062419,14.11764706,0.613846763,,,,
0.941176471,16,2.083677429,1.631805025,15.05882353,0.719732083,,,,
0,17,-0.210452196,0.57905503,0,-1.933611037,,,,
0.058823529,17,-0.500630329,0.36867179,1,-3.824120439,,,,
0.117647059,17,-0.766685471,0.303878325,2,-5.515037874,,,,
0.176470588,17,-0.984494628,0.373317467,3,-5.072652084,,,,
0.235294118,17,-1.129934808,0.43614486,4,-4.675395715,,,,
0.294117647,17,-1.184422309,0.45019913,5,-4.650469471,,,,
0.352941176,17,-1.151530577,0.457858304,6,-4.500836965,,,,
0.411764706,17,-1.040372351,0.466027555,7,-4.183416475,,,,
0.470588235,17,-0.860060368,0.420976429,8,-4.202789627,,,,
0.529411765,17,-0.620134153,0.305360013,9,-5.008347817,,,,
0.588235294,17,-0.331840393,0.31657601,10,-3.920244601,,,,
0.647058824,17,-0.00685256,0.489169389,11,-1.872700092,,,,
0.705882353,17,0.343155871,0.621655535,12,-0.910567183,,,,
0.764705882,17,0.707900873,0.654273204,13,-0.30769123,,,,
0.823529412,17,1.082656219,0.72454772,14,0.2393786,,,,
0.882352941,17,1.464085126,0.975279235,15,0.568934625,,,,
0.941176471,17,1.848850814,1.378181622,16,0.681793893,,,,
