banner.arg,banner.vd,value,se,x,Z
0.058823529,16,-0.838872166,0.721802334,0.941176471,-1.162190985
0.117647059,16,-2.526110825,1.319072327,1.882352941,-1.915066197
0.176470588,16,0.484635397,0.828017864,2.823529412,0.585295823
0.235294118,16,0.395663441,1.652818961,3.764705882,0.239387042
0.294117647,16,0.069491772,1.45272036,4.705882353,0.047835615
0.352941176,16,-0.259144953,1.649196212,5.647058824,-0.157134094
0.411764706,16,-2.79614517,1.465098968,6.588235294,-1.908502587
0.470588235,16,0.378578736,1.958610578,7.529411765,0.193289437
0.529411765,16,2.677405108,1.274208715,8.470588235,2.101229632
0.588235294,16,1.467883563,1.96150771,9.411764706,0.748344529
0.647058824,16,0.623129181,2.487231965,10.35294118,0.250531189
0.705882353,16,1.910300318,3.126889476,11.29411765,0.610926716
0.764705882,16,4.325501069,2.553710279,12.23529412,1.693810415
0.823529412,16,5.861481257,2.533823091,13.17647059,2.313295383
0.882352941,16,6.676560455,3.692783185,14.11764706,1.80800229
0.941176471,16,7.575738769,5.801957782,15.05882353,1.305721112
0,17,-0.652761822,0.242646059,0,-2.69018102
0.058823529,17,-0.856064557,0.729144621,1,-1.17406689
0.117647059,17,-2.563156631,1.333907888,2,-1.921539451
0.176470588,17,0.393344539,0.840625053,3,0.467919124
0.235294118,17,0.271153079,1.67276033,4,0.16209918
0.294117647,17,-0.094498662,1.485959775,5,-0.063594361
0.352941176,17,-0.463065604,1.703669482,6,-0.271804836
0.411764706,17,-2.967632385,1.536594539,7,-1.931304785
0.470588235,17,0.096443135,2.015365164,8,0.047853926
0.529411765,17,2.326791751,1.351050465,9,1.722209356
0.588235294,17,1.120570369,1.913154936,10,0.585718568
0.647058824,17,0.261306501,2.373008469,11,0.110116126
0.705882353,17,1.519622602,3.02416208,12,0.502493769
0.764705882,17,3.91054294,2.430638075,13,1.608854473
0.823529412,17,5.424035104,2.477260905,14,2.189529207
0.882352941,17,6.215819159,3.752655454,15,1.656378859
0.941176471,17,7.100428092,5.916769238,16,1.20005155
