fl.arg,fl.vd,value,se,x,Z
0.588235294,12,-0.09392473,1.199336409,7.058823529,-0.078313916
0.647058824,12,-0.772635561,1.464322469,7.764705882,-0.52764031
0.705882353,12,-1.125954523,1.677438638,8.470588235,-0.671234403
0.764705882,12,-0.783252972,1.510985408,9.176470588,-0.518372294
0.823529412,12,0.468030957,1.507713617,9.882352941,0.310424308
0.882352941,12,2.435664218,1.209729281,10.58823529,2.013396102
0.941176471,12,4.711142947,1.782935988,11.29411765,2.642351144
0,13,-0.845810306,0.295186456,0,-2.865342526
0.058823529,13,0.935038724,0.517819441,0.764705882,1.805723481
0.117647059,13,0.198517758,0.542309105,1.529411765,0.36606016
0.176470588,13,-0.105030583,0.473128357,2.294117647,-0.221991732
0.235294118,13,0.228368197,0.794372175,3.058823529,0.287482624
0.294117647,13,0.860656172,0.678616272,3.823529412,1.268251599
0.352941176,13,0.924393251,0.81730929,4.588235294,1.131020119
0.411764706,13,-0.760333817,0.537384725,5.352941176,-1.414877986
0.470588235,13,-0.273450679,0.877113028,6.117647059,-0.31176219
0.529411765,13,0.36229698,0.583616269,6.882352941,0.62077944
0.588235294,13,-0.066300198,1.115709906,7.647058824,-0.059424226
0.647058824,13,-0.750144889,1.349754813,8.411764706,-0.555763818
0.705882353,13,-1.113795088,1.579019202,9.176470588,-0.705371465
0.764705882,13,-0.786452134,1.382541969,9.941176471,-0.568845034
0.823529412,13,0.452757619,1.401833453,10.70588235,0.322975328
0.882352941,13,2.404986271,1.094380007,11.47058824,2.197578771
0.941176471,13,4.676005906,1.709407837,12.23529412,2.735453649
0,14,-0.845810306,0.295186456,0,-2.865342526
0.058823529,14,0.948007605,0.525633161,0.823529412,1.803553648
0.117647059,14,0.206760135,0.549394152,1.647058824,0.376342075
0.176470588,14,-0.100288381,0.479847853,2.470588235,-0.209000374
0.235294118,14,0.24050892,0.798787112,3.294117647,0.301092639
0.294117647,14,0.877594122,0.681767765,4.117647059,1.287233231
0.352941176,14,0.936865217,0.854878463,4.941176471,1.095904574
0.411764706,14,-0.673656763,0.599985455,5.764705882,-1.122788491
0.470588235,14,-0.23331238,0.889187655,6.588235294,-0.262388235
0.529411765,14,0.384154997,0.568911855,7.411764706,0.675245197
0.588235294,14,-0.043941408,1.052499345,8.235294118,-0.041749582
0.647058824,14,-0.730379526,1.253088923,9.058823529,-0.582863285
0.705882353,14,-1.100982256,1.501121484,9.882352941,-0.73343981
