PlantID,Branch,PosSeq,Pos,FL,FD,B,Date,FlwFate,seeds,aborted,unfert,Notes
18,7,40,4,7.31,2.13,2.18,21-Jun,1,0,,,
18,7,41,5,7.28,2.06,2.22,22-Jun,0,0,,,
18,7,42,6,7.22,2.09,2.37,23-Jun,0,0,,,
19,1,1,1,11.05,3.59,9.83,12-Jun,1,0,,,
19,1,2,1,10.49,3.56,8.78,12-Jun,0,0,,,
19,1,3,2,11.18,2.88,7.08,12-Jun,0,0,,,
19,1,4,3,8.83,3.05,6.16,13-Jun,0,0,,,
19,1,5,4,8.72,3.14,6.73,13-Jun,0,0,,,
19,1,6,5,8.39,3.04,6.18,13-Jun,0,0,,,
19,2,7,1,10.61,3.4,5.27,14-Jun,0,0,,,
19,2,8,2,9.28,3.1,5.96,15-Jun,0,0,,,
19,2,9,3,9.19,2.47,5.15,15-Jun,0,0,,,
19,2,10,4,,,,15-Jun,0,0,,,aborted
19,2,11,5,9.21,2.18,4.13,15-Jun,0,0,,,
19,3,12,1,9.48,3.19,5.82,14-Jun,0,0,,,
19,3,13,2,8.88,2.91,5.44,15-Jun,0,0,,,
19,4,14,3,8.29,2.94,4,15-Jun,0,0,,,
19,4,15,4,8.3,2.19,4.03,16-Jun,0,0,,,
19,4,16,5,7.54,2.1,4.19,16-Jun,0,0,,,
19,5,17,1,10.17,2.48,4.23,16-Jun,0,0,,,
19,5,18,2,9.99,2.18,4.66,16-Jun,0,0,,,
19,5,19,3,8.59,2.85,4.26,17-Jun,1,6,2,5,
19,5,20,4,8.43,2.19,4.48,17-Jun,1,5,0,0,
19,5,21,5,8.25,2.09,4.06,17-Jun,1,2,1,4,
19,5,22,6,7.84,2.68,3.74,18-Jun,1,3,1,2,
19,6,23,1,8.6,2.77,3.98,17-Jun,0,0,,,
19,6,24,2,,,,18-Jun,0,0,,,aborted
19,6,25,3,8.36,2.86,4.11,18-Jun,1,3,2,4,
19,6,26,4,7.95,2.45,4.31,18-Jun,0,0,,,
19,6,27,5,7.45,2.29,3.55,18-Jun,0,0,,,
19,6,28,6,6.71,2.39,4.1,18-Jun,0,0,,,
19,6,29,7,6.86,2.45,4.85,18-Jun,0,0,,,
19,7,30,1,8.62,2.63,4.86,18-Jun,0,0,,,
19,7,31,2,8.2,2.45,3.26,19-Jun,0,0,,,
19,7,32,3,8.1,2.19,3.98,19-Jun,0,0,,,
19,7,33,4,7.83,2.05,3.99,19-Jun,0,0,,,
19,7,34,5,7.54,2.51,3.81,20-Jun,0,0,,,
19,7,35,6,7.37,2.22,3.28,20-Jun,0,0,,,
28,1,1,1,7.95,2.95,6.92,13-Jun,1,0,,,tube pierced
28,1,2,2,9.46,3,8.66,13-Jun,0,0,,,
28,1,3,3,10.52,3.51,6.86,14-Jun,0,0,,,
28,1,4,4,9.1,3.08,4.31,14-Jun,0,0,,,
28,1,5,5,9.17,3.21,4.86,14-Jun,0,0,,,
28,1,6,6,8.76,2.72,4.32,15-Jun,0,0,,,half eaten flower (after measured)
28,1,7,7,7.83,2.47,4.05,15-Jun,0,0,,,
28,2,8,1,9.16,3.18,5.2,14-Jun,0,0,,,
28,2,9,2,8.51,2.54,4.7,14-Jun,1,1,0,4,
28,2,10,3,7.74,2.13,4.5,15-Jun,0,0,,,
28,2,11,4,7.82,2.18,4.15,15-Jun,1,6,0,0,
28,2,12,5,6.82,2.39,4.39,16-Jun,0,0,,,
28,2,13,6,7.08,2.53,6.25,16-Jun,0,0,,,
28,3,14,1,,,,17-Jun,0,0,,,eaten
28,3,15,2,,,,17-Jun,0,0,,,eaten
28,4,16,1,8.85,2.5,3.15,19-Jun,0,0,,,
28,4,17,2,8.68,2.77,3.18,19-Jun,0,0,,,
25,1,1,1,11.16,3.32,9.05,12-Jun,1,0,,,
25,1,2,2,11.55,3.21,8.34,12-Jun,1,6,0,4,
25,1,3,3,,,,13-Jun,0,7,0,0,aborted
25,1,4,4,6.98,3.28,6.47,13-Jun,1,7,0,1,
25,1,5,5,8.66,3.29,4.72,13-Jun,1,8,0,2,
25,2,6,1,10.59,3.17,8.12,12-Jun,0,0,,,
25,2,7,2,,,,13-Jun,0,0,,,aborted
25,2,8,3,8.13,2.86,6.65,13-Jun,1,8,0,1,
25,2,9,4,8.17,3.1,4.9,13-Jun,0,0,,,
25,2,10,5,8.42,3.41,4.92,13-Jun,0,0,,,tube pierced
25,3,11,1,8.75,2.63,5.21,14-Jun,0,0,,,
25,3,12,2,7.81,2.49,4.74,15-Jun,0,0,,,
25,3,13,3,7.53,2.39,4.33,16-Jun,0,0,,,tube pierced
25,3,14,4,,,,,0,0,,,aborted
26,1,1,1,11.25,3.62,9.2,12-Jun,0,0,,,
26,1,2,2,11.36,3.12,9.51,12-Jun,0,0,,,
26,1,3,3,11.71,3.53,7.59,13-Jun,0,0,,,
26,1,4,4,10.41,3.03,7.19,13-Jun,0,0,,,
26,1,5,5,9.44,3.19,6.92,13-Jun,0,0,,,
26,1,6,6,9.62,3.15,5.18,13-Jun,0,0,,,
26,1,7,7,9.19,2.71,6.94,13-Jun,0,0,,,
26,2,8,1,13.02,3.79,8.05,13-Jun,0,0,,,
26,2,9,2,9.75,2.97,6.37,14-Jun,1,0,,,
26,2,10,3,10.92,3.3,5.27,14-Jun,0,0,,,
26,2,11,4,10.49,3.05,5.7,14-Jun,0,0,,,
26,2,12,5,10.48,2.95,6.51,15-Jun,0,0,,,
26,2,13,6,9.96,2.78,6.04,15-Jun,0,0,,,
26,2,14,7,8.8,2.59,5.64,15-Jun,0,0,,,
26,3,15,1,,,,15-Jun,0,0,,,eaten
26,3,16,2,9.38,2.84,6.63,16-Jun,0,0,,,
26,3,17,3,,,,15-Jun,0,0,,,eaten
26,3,18,4,9.32,2.91,5.86,16-Jun,0,0,,,
26,3,19,5,9.21,2.96,5.23,16-Jun,0,0,,,
26,3,20,6,9.06,2.69,5.58,16-Jun,0,0,,,
26,3,21,7,8.41,2.82,5.87,17-Jun,0,0,,,
26,4,22,1,7.03,2.92,3.34,19-Jun,0,0,,,
26,4,23,2,7.13,2.78,3.22,20-Jun,0,0,,,
26,4,24,3,,,,19-Jun,0,0,,,aborted
26,4,25,4,,,,19-Jun,0,0,,,aborted
26,4,26,5,,,,19-Jun,0,0,,,aborted
33,1,1,1,9.64,3.39,6.05,14-Jun,0,0,,,
33,1,2,2,8.55,3.38,6,14-Jun,0,0,,,
33,1,3,3,8.5,3.05,4.93,14-Jun,0,0,,,
33,1,4,4,8.19,3.09,4.8,15-Jun,1,10,0,1,
33,1,5,5,7.97,3,5.03,15-Jun,0,0,,,
33,1,6,6,7.67,3.23,5.51,15-Jun,0,0,,,
33,1,7,7,7.33,3.19,5.09,16-Jun,0,0,,,
33,2,8,1,8.98,2.98,6.24,15-Jun,1,0,0,0,
33,2,9,2,9.12,3.12,6.13,15-Jun,0,0,,,
33,2,10,3,9.04,3.01,6.15,16-Jun,0,0,,,
33,2,11,4,9.02,2.85,4.77,17-Jun,0,0,,,
33,2,12,5,8.14,2.63,5.28,16-Jun,0,0,,,
33,2,13,6,8.18,2.7,4.72,16-Jun,0,0,,,
33,2,14,7,7.53,2.6,4.48,16-Jun,1,0,0,0,
33,3,15,1,9.61,2.96,4.78,16-Jun,0,0,,,
33,3,16,2,9.05,2.8,5.07,17-Jun,0,0,,,
33,3,17,3,8.04,2.61,3.86,17-Jun,0,0,,,
33,3,18,4,8.08,2.53,4.87,17-Jun,0,0,,,
33,3,19,5,7.63,2.17,4.48,17-Jun,0,0,,,
33,3,20,6,7.17,2.15,4.11,18-Jun,0,0,,,
33,4,21,1,7.61,2.57,3.95,18-Jun,0,0,,,
33,4,22,2,7.49,2.66,4.07,18-Jun,0,0,,,
33,4,23,3,7.46,2.29,4.05,20-Jun,0,0,,,
33,4,24,4,7.65,2.26,3.96,20-Jun,0,0,,,
33,4,25,5,7.61,2.37,4.2,20-Jun,0,0,,,
34,1,1,1,10.45,3.32,6.75,13-Jun,0,0,,,
34,1,2,2,10.09,3.24,5.58,13-Jun,1,7,0,3,
34,1,3,3,9.84,2.84,5.58,14-Jun,0,0,,,
34,1,4,4,9.3,2.7,5.52,15-Jun,0,0,,,
34,1,5,5,9.16,2.33,4.9,15-Jun,0,0,,,
34,1,6,6,9.05,2.61,5.12,15-Jun,0,0,,,
