PlantID,Branch,PosSeq,Pos,FL,FD,B,Date,FlwFate,seeds,aborted,unfert,Notes,flw_vol
13,2,7,4,10.34,3.17,7.11,13-Jun,0,0,,,,27.2024063
13,2,8,5,8.86,3.29,6.24,13-Jun,0,0,,,,25.10693959
13,2,9,6,8.68,3.24,6.18,13-Jun,0,0,,,,23.85492225
13,2,10,7,8.61,3.04,6.49,13-Jun,0,0,,,,20.83140577
13,3,11,1,8.24,3.01,6.51,13-Jun,0,0,,,,19.54467543
13,3,12,2,8.05,3.24,6.53,13-Jun,1,0,,,,22.1235166
13,3,13,3,8.97,3.54,5.27,14-Jun,0,0,,,,29.42843906
13,3,14,4,9.02,3.29,5.75,14-Jun,0,0,,,,25.56033805
13,3,15,5,9.13,3.03,6.06,15-Jun,0,0,,,,21.94442948
13,3,16,6,8.4,3.05,4.8,15-Jun,0,0,,,,20.45724868
13,4,17,1,7.99,2.65,3.53,15-Jun,0,0,,,,14.68949234
14,1,1,1,9.12,3.97,7.91,12-Jun,0,0,,,,37.63085723
14,1,2,2,8.42,3.29,7.44,12-Jun,0,0,,,,23.86009383
14,1,3,3,8.11,2.91,6.74,13-Jun,0,0,,,,17.97939575
14,1,4,4,6.7,2.64,5.75,13-Jun,0,0,,,small flower,12.22505766
14,1,5,5,6.88,2.69,3.47,14-Jun,0,0,,,,13.03350606
14,1,6,6,6.44,2.72,3.65,14-Jun,0,0,,,,12.47360351
15,1,1,1,10.25,3.64,8.27,12-Jun,0,8,0,1,,35.55452595
15,1,2,2,12.08,4.29,8.64,12-Jun,1,0,,,,58.20359076
15,1,3,3,9.69,3.2,6.24,13-Jun,0,0,,,,25.97717939
15,1,4,4,9.19,3.3,6.56,13-Jun,1,0,,,,26.20062498
15,1,5,5,6.5,3.57,5.65,14-Jun,0,0,,,,21.6879273
15,2,6,1,10.82,3.4,7.81,13-Jun,0,0,,,,32.74563033
15,2,7,2,9.83,3.07,7.53,13-Jun,0,0,,,,24.25484639
15,2,8,3,9.7,3.13,8.14,13-Jun,0,0,,,,24.87875648
15,2,9,4,10.59,3.19,6.72,13-Jun,1,0,,,,28.21276075
15,2,10,5,9.56,3.39,5,14-Jun,0,0,,,,28.76242826
15,2,11,6,7.27,3.18,4.83,14-Jun,0,0,,,,19.24672808
15,2,12,7,7.13,2.65,5.02,15-Jun,0,0,,,,13.10839554
15,3,13,1,9.48,3.11,5.36,14-Jun,1,0,,,,24.00476038
15,3,14,2,9,3.14,5.97,14-Jun,0,0,,,,23.23111557
15,3,15,3,7.16,3.67,5.49,14-Jun,1,0,,,,25.24721106
15,3,16,4,8.12,2.98,4.23,15-Jun,1,5,1,0,,18.87803632
15,3,17,5,8.04,2.96,5.15,15-Jun,1,8,0,0,,18.44198781
15,3,18,6,7.95,2.9,4.89,15-Jun,0,9,1,0,,17.50376138
15,4,19,1,8.47,2.89,4.83,15-Jun,0,0,,,,18.52027178
15,4,20,2,8.89,2.72,4.54,16-Jun,0,0,,,,17.21899615
15,4,21,3,8.16,2.83,4.58,16-Jun,0,0,,,,17.1092625
15,4,22,4,8.21,2.61,4.01,16-Jun,0,0,,,,14.64173127
15,4,23,5,8.14,2.83,4.17,17-Jun,0,0,,,,17.06732804
15,4,24,6,7.87,2.85,3.77,17-Jun,0,0,,,,16.73526956
15,5,25,1,9.47,2.84,4.52,17-Jun,0,7,0,0,,19.99654289
15,5,26,2,8.54,2.74,4.01,17-Jun,0,0,,,,16.78522844
15,5,27,3,8.26,2.61,4.29,17-Jun,0,0,,,,14.73090137
15,5,28,4,8.6,2.46,4.32,17-Jun,0,0,,,,13.625013
15,5,29,5,8.49,2.31,3.02,18-Jun,0,0,,,,11.86041567
15,5,30,6,8.71,2.69,4.42,18-Jun,0,0,0,0,,16.50026711
15,5,31,7,7.34,2.82,4.22,18-Jun,0,0,,,,15.28137863
15,6,32,1,8.81,2.6,4.49,17-Jun,0,0,,,,15.59160645
15,6,33,2,8.32,2.39,4.09,18-Jun,0,0,,,,12.44191953
15,6,34,3,8.46,2.47,3.61,19-Jun,0,0,,,,13.51240113
15,6,35,4,8.07,2.39,3.56,19-Jun,0,0,,,,12.06806377
15,7,36,1,8.9,2.22,4.29,19-Jun,0,0,,,,11.48323402
15,7,37,2,8.61,2.87,4.48,20-Jun,0,4,1,1,,18.56672072
15,7,38,3,8.5,2.61,5.02,21-Jun,0,0,,,,15.15891788
15,7,39,4,6.78,2.85,4.03,22-Jun,0,4,0,4,,14.4174241
15,7,40,5,7.03,3.18,4.58,23-Jun,0,0,,,,18.61134779
16,1,1,1,13.03,4.86,9.54,12-Jun,0,0,,,,80.57219851
16,1,2,2,9.18,4.5,6.1,12-Jun,0,0,,,,48.66715609
16,1,3,3,8.72,3.18,7.46,13-Jun,0,0,,,,23.08548403
16,1,4,4,8.2,3.45,7.15,13-Jun,0,0,,,,25.55172957
16,1,5,1,7.3,2.8,4.49,13-Jun,0,0,,,,14.98328991
17,1,1,1,11.92,3.7,9.99,12-Jun,0,0,,,,42.72164465
17,2,2,2,11.99,4.29,8.25,12-Jun,0,0,,,,57.76995474
17,1,3,3,10.8,3.57,9.42,12-Jun,0,0,,,,36.03532535
17,1,4,4,10.27,2.99,8.49,12-Jun,0,0,,,,24.0370452
17,1,5,5,9.54,2.74,6.5,13-Jun,0,0,,,,18.75071186
17,1,6,1,8.92,3.13,7.39,12-Jun,0,0,,,,22.87819668
17,1,7,2,9.34,3.47,5.13,13-Jun,0,0,,,,29.44245945
17,2,8,3,9.51,3.06,5.92,13-Jun,0,0,,,,23.31264926
17,2,9,4,8.2,3.05,5.49,14-Jun,0,0,,,,19.97017133
17,2,10,5,7.84,3.44,4.27,14-Jun,1,0,,,,24.28852869
17,3,11,1,9.8,2.28,4.01,19-Jun,0,0,,,,13.33718052
17,3,12,2,8.41,2.29,4.02,21-Jun,0,0,,,,11.54609749
17,3,13,3,7.34,2.16,3.65,22-Jun,0,0,,,,8.965444409
17,3,14,4,7.13,2.24,3.29,23-Jun,0,0,,,,9.365992945
17,4,15,1,9.14,2.41,3.55,22-Jun,0,0,,,,13.89787946
17,4,16,2,8.71,2.59,4.13,23-Jun,0,0,,,,15.29628416
17,4,17,3,8.81,2.52,4.47,23-Jun,0,0,,,,14.64688426
17,4,18,4,7.8,2.85,3.67,23-Jun,0,0,,,,16.5864171
17,4,19,5,8.19,2.86,3.91,24-Jun,0,0,,,,17.53816808
17,4,20,6,8.41,2.61,3.42,24-Jun,0,0,,,,14.99841169
17,4,21,7,8.23,2.78,4.19,24-Jun,0,0,,,,16.65166583
18,1,1,1,13.27,3.35,9.22,12-Jun,1,0,,,,38.98780603
18,1,2,2,12.73,2.94,8.83,12-Jun,0,0,,,,28.80655504
18,1,3,3,8.66,2.92,5.69,13-Jun,0,0,,,,19.33089023
18,1,4,4,9.77,3.12,6.07,13-Jun,0,0,,,,24.89843278
18,1,5,5,9.66,2.99,8.86,13-Jun,1,4,0,1,,22.60933365
