B.1.arg,B.1.vd,value,se,x,z,,,
0.888888889,2.6685,-11.09022101,4.401767239,2.372,-0.162333333,,,
1,2.6685,-14.18195044,5.866384672,2.6685,-0.534456803,,,
0,2.7244,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.7244,-0.636760863,0.996857678,0.302711111,1.09585499,,,
0.222222222,2.7244,-1.031905999,1.092540226,0.605422222,1.048294949,,,
0.333333333,2.7244,-1.815400776,1.153003791,0.908133333,0.953992779,,,
0.444444444,2.7244,-2.98724797,1.284964925,1.210844444,0.812948145,,,
0.555555556,2.7244,-4.547446999,1.642509599,1.513555556,0.625161118,,,
0.666666667,2.7244,-6.495999197,2.301611966,1.816266667,0.390631538,,,
0.777777778,2.7244,-8.832905535,3.250640544,2.118977778,0.109359287,,,
0.888888889,2.7244,-11.55816603,4.462187437,2.421688889,-0.218655637,,,
1,2.7244,-14.67177993,5.918217141,2.7244,-0.593413142,,,
0,2.7803,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.7803,-0.720230253,0.980780036,0.308922222,1.085808536,,,
0.222222222,2.7803,-1.191036818,1.067959842,0.617844444,1.029141813,,,
0.333333333,2.7803,-2.042384771,1.135717302,0.926766667,0.926672771,,,
0.444444444,2.7803,-3.27427708,1.293373784,1.235688889,0.778401051,,,
0.555555556,2.7803,-4.886713157,1.68220849,1.544611111,0.584326723,,,
0.666666667,2.7803,-6.879694217,2.361913109,1.853533333,0.344449643,,,
0.777777778,2.7803,-9.253221242,3.318793041,2.162455556,0.058769692,,,
0.888888889,2.7803,-12.00729429,4.528740421,2.471377778,-0.272713138,,,
1,2.7803,-15.14191265,5.976104619,2.7803,-0.64999876,,,
0,2.8362,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.8362,-0.800409366,0.966164189,0.315133333,1.076158102,,,
0.222222222,2.8362,-1.343894874,1.047450569,0.630266667,1.010743674,,,
0.333333333,2.8362,-2.260421303,1.125860098,0.9454,0.900429688,,,
0.444444444,2.8362,-3.549991811,1.311217292,1.260533333,0.745215766,,,
0.555555556,2.8362,-5.212605808,1.730195624,1.575666667,0.545101977,,,
0.666666667,2.8362,-7.248264396,2.428616639,1.8908,0.300088189,,,
0.777777778,2.8362,-9.656968561,3.392259272,2.205933333,0.010174284,,,
0.888888889,2.8362,-12.4387184,4.600225096,2.521066667,-0.324639751,,,
1,2.8362,-15.59351325,6.039001817,2.8362,-0.704353834,,,
0,2.8921,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.8921,-0.877488993,0.952913555,0.321344444,1.066880725,,,
0.222222222,2.8921,-1.490843893,1.030771664,0.642688889,0.993056751,,,
0.333333333,2.8921,-2.470029197,1.122784189,0.964033333,0.875201084,,,
0.444444444,2.8921,-3.815048232,1.337035449,1.285377778,0.713313325,,,
0.555555556,2.8921,-5.52590042,1.784698401,1.606722222,0.507393542,,,
0.666666667,2.8921,-7.602586753,2.500204173,1.928066667,0.257441616,,,
0.777777778,2.8921,-10.04510822,3.469807388,2.249411111,-0.036542571,,,
0.888888889,2.8921,-12.85346495,4.675606148,2.570755556,-0.374559037,,,
1,2.8921,-16.02765632,6.105995725,2.8921,-0.756607704,,,
0,2.948,-0.629959235,0.876928548,0,1.096673641,,,
0.111111111,2.948,-0.951645449,0.940937155,0.327555556,1.057955184,,,
