FL.arg,ab_flw,FL.vd,value,se,x
0.770833333,38.54166667,50,-2.814001827,1.590443705,37.77083333
0.791666667,39.58333333,50,-5.041694065,3.358622398,38.79166667
0.8125,40.625,50,-6.252180703,4.62338549,39.8125
0.833333333,41.66666667,50,-5.527373789,5.111959022,40.83333333
0.854166667,42.70833333,50,-2.906307623,4.965905277,41.85416667
0.875,43.75,50,0.893581665,4.424299444,42.875
0.895833333,44.79166667,50,4.784482328,3.654517537,43.89583333
0.916666667,45.83333333,50,7.65719841,2.925422777,44.91666667
0.9375,46.875,50,8.781168412,3.35352848,45.9375
0.958333333,47.91666667,50,8.094662068,5.603533554,46.95833333
0.979166667,48.95833333,50,6.248535165,8.689449123,47.97916667
1,50,50,4.332694151,11.71960762,49
