FD.arg,absflwno,FD.vd,value,se,x
0.083333333,4.166666667,50,-6.796362715,1.751825638,4.083333333
0.104166667,5.208333333,50,-2.262066875,0.728947764,5.104166667
0.125,6.25,50,10.99615589,1.287728552,6.125
0.145833333,7.291666667,50,6.462150238,1.146100727,7.145833333
0.166666667,8.333333333,50,-9.166029177,1.144318619,8.166666667
0.1875,9.375,50,-7.644022352,1.97135653,9.1875
0.208333333,10.41666667,50,7.272907177,2.007783961,10.20833333
0.229166667,11.45833333,50,7.89286851,1.786127199,11.22916667
0.25,12.5,50,-5.002817328,1.353155991,12.25
0.270833333,13.54166667,50,-6.870597817,2.044976451,13.27083333
0.291666667,14.58333333,50,5.47209664,1.728516236,14.29166667
0.3125,15.625,50,9.999174035,2.545376935,15.3125
