"PlantID","pos_scaled","total_flw","B_pred"
32,0.808080808080808,31,3.90876783117963
32,0.818181818181818,31,3.88972416609591
32,0.828282828282828,31,3.8704074005954
32,0.838383838383838,31,3.85086816071546
32,0.848484848484849,31,3.83115823776774
32,0.858585858585859,31,3.81132875787157
32,0.868686868686869,31,3.7914282933493
32,0.878787878787879,31,3.77150191707962
32,0.888888888888889,31,3.75158965767413
32,0.898989898989899,31,3.73172525142745
32,0.909090909090909,31,3.71193520037151
32,0.919191919191919,31,3.69223876882206
32,0.929292929292929,31,3.67265030398282
32,0.939393939393939,31,3.65317749635917
32,0.94949494949495,31,3.63382331687155
32,0.95959595959596,31,3.61458689972646
32,0.96969696969697,31,3.59546394813418
32,0.97979797979798,31,3.57644942233992
32,0.98989898989899,31,3.55753939863199
32,1,31,3.538731260397
9,0,9,9.57685549065311
9,0.0101010101010101,9,9.49065198501627
9,0.0202020202020202,9,9.40522817161377
9,0.0303030303030303,9,9.32058128908689
9,0.0404040404040404,9,9.236716328596
9,0.0505050505050505,9,9.15364910733385
9,0.0606060606060606,9,9.07140216603151
9,0.0707070707070707,9,8.9900058369889
9,0.0808080808080808,9,8.90949487547118
9,0.0909090909090909,9,8.8299063762939
9,0.101010101010101,9,8.75128122815453
9,0.111111111111111,9,8.67366104021144
9,0.121212121212121,9,8.59708758090736
9,0.131313131313131,9,8.5216017947286
9,0.141414141414141,9,8.44724250311223
9,0.151515151515152,9,8.37404575329911
9,0.161616161616162,9,8.30204343954737
9,0.171717171717172,9,8.23126183977384
9,0.181818181818182,9,8.16172143714376
9,0.191919191919192,9,8.09343622411369
9,0.202020202020202,9,8.02641164049546
9,0.212121212121212,9,7.96064657220353
9,0.222222222222222,9,7.89613445910513
9,0.232323232323232,9,7.83286265553158
9,0.242424242424242,9,7.77081209018155
9,0.252525252525253,9,7.70995628319901
9,0.262626262626263,9,7.6502638552669
9,0.272727272727273,9,7.59169938828076
9,0.282828282828283,9,7.53422183178332
9,0.292929292929293,9,7.47778568776387
9,0.303030303030303,9,7.4223430189417
9,0.313131313131313,9,7.3678431723243
9,0.323232323232323,9,7.314235016199
9,0.333333333333333,9,7.26146790175078
9,0.343434343434343,9,7.2094922774953
9,0.353535353535354,9,7.15826039644563
9,0.363636363636364,9,7.10772738133585
9,0.373737373737374,9,7.05785231481526
9,0.383838383838384,9,7.00859937521859
9,0.393939393939394,9,6.95993728637109
9,0.404040404040404,9,6.91183778541372
9,0.414141414141414,9,6.86427626914929
9,0.424242424242424,9,6.81723235343682
9,0.434343434343434,9,6.77069001505034
9,0.444444444444444,9,6.72463615802095
