arg,vd,value,se,x,z,sd,z2
0.645833333,2,2.531687294,2.62668278,1.291666667,1.557808027,14.3869341,0.118280051
0.666666667,2,2.698556285,2.731047237,1.333333333,1.660486528,14.95856177,0.124915504
0.6875,2,2.858520855,2.820680115,1.375,1.758916572,15.44950126,0.131300087
0.708333333,2,3.017080963,2.911416491,1.416666667,1.856482416,15.94648486,0.13715129
0.729166667,2,3.173626877,3.008262753,1.458333333,1.952808879,16.47693369,0.142236834
0.75,2,3.32466642,3.11175038,1.5,2.045747139,17.04375876,0.146368325
0.770833333,2,3.465766062,3.22171918,1.541666667,2.132569139,17.64608269,0.149368339
0.791666667,2,3.59271064,3.338951586,1.583333333,2.210681188,18.28819102,0.151065277
0.8125,2,3.702108173,3.465268421,1.625,2.277996119,18.98005682,0.151322422
0.833333333,2,3.791624289,3.602897835,1.666666667,2.333077536,19.73388417,0.150078123
0.854166667,2,3.859996425,3.753778779,1.708333333,2.375148554,20.56029313,0.147371266
0.875,2,3.906932184,3.919144595,1.75,2.404029255,21.46603901,0.143339541
0.895833333,2,3.932954554,4.099447305,1.791666667,2.420041445,22.45359762,0.138194093
0.916666667,2,3.939228282,4.294517259,1.833333333,2.42390182,23.52203976,0.132183616
0.9375,2,3.927386045,4.503807633,1.875,2.416615007,24.66837035,0.125561032
0.958333333,2,3.899365415,4.726606775,1.916666667,2.39937324,25.88869151,0.118560083
0.979166667,2,3.857263714,4.962163391,1.958333333,2.373467052,27.17888823,0.111382912
1,2,3.803215356,5.209723874,2,2.340209798,28.53483284,0.104195997
0,3,1.183699038,0.517234078,0,0.728358462,2.83300772,0.124849303
0.020833333,3,0.638531162,0.24163109,0.0625,0.392903568,1.323467986,-0.144672059
0.041666667,3,-0.056386459,0.146903487,0.125,-0.034695943,0.804623536,-1.10161637
0.0625,3,-0.391874949,0.343050229,0.1875,-0.241130072,1.878963488,-0.650292013
0.083333333,3,-0.172972653,0.302227053,0.25,-0.10643423,1.655365744,-0.605891874
