FD.arg,FD.vd,value,se,x,z
0.145833333,5,0.596914633,0.390526253,0.729166667,-0.222575772
0.166666667,5,-0.238938313,0.41145062,0.833333333,-0.548061525
0.1875,5,-0.763155852,0.491561293,0.9375,-0.752194729
0.208333333,5,-0.569860809,0.515980324,1.041666667,-0.676924572
0.229166667,5,0.38735483,0.468020351,1.145833333,-0.304179517
0.25,5,1.746501773,0.509635255,1.25,0.225079808
0.270833333,5,2.922717496,0.664275168,1.354166667,0.683104705
0.291666667,5,3.40741878,0.788384795,1.458333333,0.871850062
0.3125,5,3.007390423,0.804499506,1.5625,0.716076811
0.333333333,5,1.904474537,0.700367553,1.666666667,0.286595275
0.354166667,5,0.529221722,0.551183564,1.770833333,-0.248935765
0.375,5,-0.659722299,0.554436926,1.875,-0.711917133
0.395833333,5,-1.363596718,0.710077079,1.979166667,-0.986009718
0.416666667,5,-1.513284032,0.802387503,2.083333333,-1.044298784
0.4375,5,-1.226714776,0.757252493,2.1875,-0.932707134
0.458333333,5,-0.709934845,0.651500611,2.291666667,-0.731470175
0.479166667,5,-0.159251013,0.645046213,2.395833333,-0.51703085
0.5,5,0.296472202,0.813901365,2.5,-0.339569714
0.520833333,5,0.609601076,1.060203983,2.604166667,-0.217635601
0.541666667,5,0.79422829,1.266230448,2.708333333,-0.145740745
0.5625,5,0.891862916,1.351583233,2.8125,-0.107721282
0.583333333,5,0.941183482,1.298571006,2.916666667,-0.088515581
0.604166667,5,0.964965753,1.168952576,3.020833333,-0.079254634
0.625,5,0.974281708,1.073313875,3.125,-0.07562695
0.645833333,5,0.976546201,1.100902449,3.229166667,-0.074745143
0.666666667,5,0.982967491,1.227772242,3.333333333,-0.072244657
0.6875,5,1.012083964,1.372749949,3.4375,-0.060906542
0.708333333,5,1.087842702,1.49661387,3.541666667,-0.031405671
0.729166667,5,1.233363034,1.608766371,3.645833333,0.02526075
0.75,5,1.463283166,1.729907405,3.75,0.114792918
0.770833333,5,1.777989373,1.859849415,3.854166667,0.237341253
0.791666667,5,2.162223148,1.972616452,3.958333333,0.386964007
0.8125,5,2.588938705,2.032955823,4.0625,0.553129401
0.833333333,5,3.027061267,2.01781525,4.166666667,0.723736746
0.854166667,5,3.448876106,1.933135276,4.270833333,0.887993773
0.875,5,3.832370707,1.822813147,4.375,1.037328689
0.895833333,5,4.161380009,1.780427626,4.479166667,1.165446728
0.916666667,5,4.42678536,1.925547187,4.583333333,1.268797037
0.9375,5,4.627182756,2.300292803,4.6875,1.346832889
0.958333333,5,4.767967293,2.832506521,4.791666667,1.401655165
0.979166667,5,4.858765433,3.420823129,4.895833333,1.437012462
1,5,4.90983817,3.995225943,5,1.456900468
